user_id,name,phone_number,city_id
1,Ifa Sitorus,+62 (008) 652 2832,3573
2,Cemani Novitasari,+62 (486) 040-5223,3573
3,"Lala Hakim, S.Gz",(0655) 405 8971,3578
4,"Najam Napitupulu, M.M.",+62 (035) 737-0136,3174
5,Hani Haryanti,+62 (062) 942 9649,3578
6,"Drs. Ida Purnawati, S.Psi",+62 (73) 956-7981,1371
7,Dr. Dewi Kuswandari,+62 (33) 477 2384,1371
8,Bahuraksa Wastuti,+62 (0296) 147-6827,5171
9,Tgk. Septi Saptono,+62-0511-585-2709,3171
10,Ir. Jumari Hasanah,(003) 038 3135,3173
11,Aurora Tamba,(0944) 201 7356,5171
12,Aurora Mansur,+62-837-445-7712,3173
13,Daruna Simanjuntak,(0708) 262 1782,3171
14,Gatot Kusumo,(0220) 285 0433,1371
15,Eja Handayani,086 400 7522,3573
16,Warsita Usada,(0935) 318 6366,3173
17,"R.A. Zelda Gunawan, S.E.",+62 (0632) 200-3067,3174
18,Gawati Zulaika,+62 (32) 584 9474,3273
19,Puti Ratih Pranowo,(087) 282-9924,1375
20,Sabri Yolanda,+62 (077) 607 0507,1371
21,Indah Pudjiastuti,+62-41-750-2778,1371
22,Maida Wulandari,+62 (48) 622 4996,1375
23,Tgk. Mahmud Kuswoyo,(0410) 407-1549,3173
24,Jasmani Susanti,+62-0509-836-0400,3578
25,Humaira Widiastuti,+62 (0248) 879-7379,3171
26,Rahmi Fujiati,(042) 802-8130,3573
27,Embuh Maryati,+62 (738) 194 3383,3273
28,Shakila Safitri,080 518 8050,7371
29,Sutan Dimas Tamba,(0048) 482-0613,3273
30,Tedi Permata,+62-069-356-5393,3173
31,Zizi Mayasari,(0797) 165-8154,3171
32,"Jati Firmansyah, S.Ked",+62 (032) 642 6331,3471
33,"Rendy Melani, S.Psi",(0376) 302 7394,1375
34,Virman Maryadi,+62 (095) 387 7705,1371
35,Puspa Permadi,+62 (450) 595-5490,7371
36,Salman Situmorang,+62 (944) 549-7993,1375
37,"Violet Usada, S.Sos",+62 (78) 872 9256,3175
38,Jane Firgantoro,(0636) 101-3252,5171
39,Gantar Saptono,+62-070-972-7148,6471
40,"Puti Zahra Hariyah, S.Ked",+62 (530) 625-6123,5171
41,"Drs. Lintang Laksita, S.I.Kom",+62 (882) 967-8918,3175
42,"Nalar Melani, S.Gz",+62 (063) 822-8133,3175
43,drg. Galur Padmasari,+62 (0675) 469-9218,3174
44,"Eja Uyainah, S.Gz",0826301441,3471
45,Nrima Lestari,+62 (08) 301-8936,3173
46,"Jasmin Santoso, S.Farm",(055) 412 6530,3471
